Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
CH 315	Unnamed prospect	44.5628	-114.8442	160370801	N/A	N/A
CH 316	Loon Creek Quartz Vein	44.5603	-114.8506	160370894	N/A	N/A
CH 317	Unnamed prospect	44.5569	-114.8375	160370792	N/A	N/A
CH 318	Monte Cristo Mine	44.5497	-114.8306	160370570	W014262	695
CH 319	Shell Creek Bar	44.6119	-114.7931	160370896	N/A	N/A
CH 320	Double Bar	44.6097	-114.7972	160370897	N/A	N/A
CH 321	West Transfer Bar	44.6061	-114.8008	160370898	N/A	N/A
CH 322	East Transfer Bar	44.6014	-114.8022	160370706	N/A	N/A
CH 323	Tin Cup Bar (Tincup Bar)	44.5989	-114.8083	160370900	N/A	N/A
CH 324	West Tin Cup Bar (West Tincup Bar)	44.5967	-114.8108	160370899	N/A	N/A
CH 325	Airport Disseminated Copper Prospect	44.5906	-114.8203	160370711	N/A	692
CH 326	Airport Bar	44.5903	-114.8244	160370901	N/A	N/A
CH 327	Grouse Creek Placer	44.5908	-114.8392	N/A	N/A	N/A
CH 328	Unnamed prospect	44.5886	-114.8358	160370799	N/A	N/A
CH 329	Loon Creek Placers (Casto Bar; Oro Grande Bar; Grouse Creek Placer; Loon Creek Hydraulic Placer Co.)	44.5842	-114.8317	160370707	W013932	690
CH 330	Unnamed prospect	44.5842	-114.8247	160370807	N/A	N/A
CH 331	Loon Creek Summit Fluorspar Occurrence	44.4681	-114.7494	160370886	N/A	N/A
CH 332	Unnamed prospect	44.4667	-114.7178	160370862	N/A	N/A
CH 333	Unnamed prospect	44.4644	-114.7106	160370861	N/A	N/A
CH 334	Unnamed prospect	44.4614	-114.6947	160370865	N/A	N/A
CH 335	Unnamed prospect	44.4628	-114.715	160370498	N/A	156
CH 336	HUH Bros. (H U H Bros.)	44.4569	-114.7497	160370991	N/A	N/A
CH 337	Unnamed prospect	44.4617	-114.7311	160370867	N/A	N/A
CH 338	Unnamed prospect	44.4594	-114.7206	160370864	N/A	N/A
CH 339	Unnamed prospect	44.4572	-114.7256	160370868	N/A	N/A
