Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
DU 162	Spring Canyon Nos. 1 and 2	44.8467	-113.4544	160590812	N/A	164
DU 163	Lookout No. 1 (Chief Tendoy Group)	44.8425	-113.4569	160590813	N/A	165
DU 164	Sauser No. 1	44.8386	-113.4611	160590814	N/A	166
DU 166	Mohawk Group	44.8269	-113.4381	160590815	W015858	168
DU 167	Groom Creek Porphyry	44.4858	-113.2936	160590871	N/A	N/A
DU 168	Athaleen (Tidal Wave)	44.4861	-113.3031	160590400	D006772	169
DU 169	Groom's Democrat (Democrat; Groom Mine)	44.4894	-113.3022	160590297	N/A	172
DU 170	McClellan-Stevens	44.4836	-113.3114	160590294	N/A	171
DU 171	Jumbo Deposit	44.4825	-113.3161	160590816	D006770	173
DU 172	Silver Fissure	44.4811	-113.3122	160590302	N/A	174
DU 173	Hilltop Mine	44.4811	-113.3189	160590291	3	177
DU 174	Fairview	44.4806	-113.3028	160590319	N/A	175
DU 175	Little Hill Mine	44.4764	-113.285	160590817	W015817	187
DU 176	Hughes Group	44.4786	-113.3125	160590298	N/A	179
DU 177	Snowslide	44.4781	-113.3208	160590296	N/A	178
DU 178	Unnamed prospect	44.4772	-113.3319	N/A	N/A	N/A
DU 179	Groom's Snowshoe	44.4706	-113.3153	160590293	N/A	182
DU 180	Hard Scrabble	44.4706	-113.3236	160590304	N/A	181
DU 181	Brown Bull Mine (Independence)	44.47	-113.3261	160590292	N/A	180
DU 183	Unnamed prospect	44.4631	-113.3392	N/A	N/A	N/A
DU 184	Portland	44.4644	-113.3286	160590301	N/A	183
DU 185	Ridgeway Mine	44.4656	-113.3117	160590295	N/A	184
DU 186	Carrie Cody	44.4625	-113.3178	N/A	N/A	N/A
DU 188	Mountain Boy Mine	44.4561	-113.3128	160590300	N/A	186
DU 190	Little Gilmore Tunnel (Allie Mining Co.)	44.4636	-113.2769	N/A	W015873	189
DU 191	Old Nicholas Smelter	44.4611	-113.2761	160590559	N/A	191
DU 192	Allie Group (Andy; Falls Creek)	44.4572	-113.2822	160590311	N/A	190
DU 193	Ruth Claim (Allie Mining Co.)	44.4558	-113.2797	N/A	W015871	192
DU 194	Dorothy Mine (Allie Mining Co.)	44.4544	-113.2819	N/A	W015797	197
DU 195	Martha Mine (Allie Mining Co.; Gilmore Mining Co.)	44.4553	-113.2867	160590315	W015799	198
DU 196	Pittsburg-Idaho Mine (Silver Dollar Prospect; Sixteen-to-One; Gilmore Mine; Neversweat; United Idaho Mining Co.)	44.4522	-113.2847	160590305	W015796	203
DU 197	Latest Out Mine	44.4581	-113.2922	160590312	W015798	194
DU 198	Roy Sauer Claim (Allie Mining Co.; Gilmore Mining Co.; Roy Lauer)	44.4569	-113.2956	160590315	W015814	193
DU 199	O. K. Olson	44.4519	-113.2919	160590309	N/A	195
DU 203	Orion	44.4464	-113.2811	N/A	N/A	N/A
DU 204	Fourth Term (Ag 520, 521, 570, 571, 620, and 621)	44.4439	-113.2858	N/A	N/A	N/A
DU 205	Liberty Gulch	44.4458	-113.2889	160590314	N/A	199
DU 206	Lady Franklin (Hutchings)	44.4475	-113.3006	160590306	N/A	196
DU 208	Murphy	44.4397	-113.3081	160590310	N/A	204
DU 210	Buckhorn (Ag 1025)	44.44	-113.2939	N/A	N/A	412
DU 211	Skyline (Ag 522)	44.4358	-113.2883	N/A	N/A	N/A
DU 212	Silver Moon Mine (Mohawk)	44.4328	-113.2608	160590317	W015800	206
DU 215	Grace Phelan	44.4289	-113.2614	160590405	N/A	205
DU 216	Snowbird Shaft	44.4281	-113.2567	N/A	N/A	N/A
DU 217	Ag 261	44.4236	-113.2572	N/A	N/A	N/A
DU 219	Ag 419	44.4278	-113.2803	N/A	N/A	206
DU 220	Ag 416	44.4272	-113.2733	N/A	N/A	N/A
DU 221	Ag 315	44.4219	-113.2758	160590318	N/A	207
DU 223	Sunnyside	44.4039	-113.2497	N/A	N/A	N/A
DU 225	Lemhi Union Mine	44.3919	-113.2697	160590324	W015802	210
DU 226	Colorado Group	44.3919	-113.2592	160590323	W015767	211
DU 227	Self Starter	44.38	-113.2406	N/A	N/A	N/A
DU 228	Bruce Claim Group (Bruce-Stone Copper Group; Bruce Estate; Silver Consolidated Mines)	44.3775	-113.2742	160590402	W015766	212
DU 229	Lemhi Range	44.3722	-113.2833	160590818	N/A	213
DU 230	Sims Magnetite Deposit (Sims Old Timer Mine; Tempest; Bruce)	44.37	-113.2644	160590316	N/A	214
DU 231	Iron Mask Mine (Hard Carbonate)	44.3664	-113.2678	160590322	D000013	215
DU 232	Little Windy Group (Silverslide)	44.3614	-113.29	160590326	N/A	217
DU 233	Bear Hat	44.3589	-113.3247	160590879	N/A	N/A
DU 234	Galena Prospect	44.36	-113.2633	160590492	N/A	225
DU 235	Winnie (Excelsior)	44.3567	-113.2628	160590320	N/A	226
DU 237	Fish Haven Dolomite	44.3536	-113.2717	160590406	N/A	219
DU 238	Excelsior Mine	44.3536	-113.265	160590404	W015768	227
DU 239	Red Warrior Occurrence (Sunrise)	44.3511	-113.2672	160590493	W015870	228
DU 240	Teddy Mine (Big Windy; Spring Mountain; Medicine)	44.3492	-113.2769	160590820	W015769	220
DU 241	Elizabeth Mine (Big Windy; Spring Mountain; Sand Carbonate)	44.3447	-113.2792	160590821	N/A	221
DU 243	Porcupine	44.3431	-113.2544	160590325	N/A	230
DU 244	Valley View (Excelsior & Valley View)	44.3411	-113.2464	160590404	N/A	449
DU 248	Dividend Mine (Big Smokey Claims; Tara Lyn Claims)	44.3353	-113.2656	160590857	N/A	419
DU 269	Nautalis Claims	44.9831	-113.9433	160590399	N/A	232
DU 270	Uncle Sam	44.9514	-113.85	N/A	N/A	N/A
DU 271	111 Claims	44.9264	-113.9106	N/A	N/A	N/A
DU 273	Mining Nickel Claims	44.8792	-113.9303	160590240	W015783	234
DU 274	Birthday Claim	44.8736	-113.8936	160590239	W015782	235
DU 275	Stevenson Property	44.8678	-113.9564	160590881	N/A	N/A
DU 276	Fire Fly Claim	44.8628	-113.9258	160590238	W015781	236
DU 277	Ruth	44.8489	-113.9611	N/A	N/A	N/A
DU 278	Lorado	44.8461	-113.9519	N/A	N/A	N/A
DU 282	Bessemer	44.8331	-113.9486	N/A	N/A	241
DU 283	Black Angus Prospect	44.8319	-113.9628	160590252	W015788	240
DU 284	Poison-McKim-Little Sawmill Creeks	44.7975	-113.9161	160590822	N/A	242
DU 286	Rocky Mountain Goat Mine (Allison Creek Mine; H and R)	44.785	-113.8825	160590427	N/A	244
DU 287	San Angelo Claims	44.9436	-113.69	N/A	N/A	N/A
DU 288	Jiggs Prospect (June Bug Claims)	44.9225	-113.7472	160590241	W015733	245
DU 289	June Bug Claims	44.9158	-113.7508	N/A	D006766	N/A
DU 290	Copper King Prospect (June Bug Claims)	44.9161	-113.7797	N/A	W015784	246
DU 291	McDevitt Creek Prospect	44.9069	-113.7711	160590823	W026790	247
DU 292	No. 164 Thorium Deposit	44.9503	-113.6044	160590824	N/A	248
DU 293	Montana Special Claims	44.9458	-113.6111	160590444	D006767	249
DU 294	Chief Tendoy No. 1	44.9292	-113.6064	N/A	N/A	250
DU 295	Viola Claim Group	44.9056	-113.6006	160590246	W015735	251
DU 296	Copper King Mine	44.895	-113.6194	160590511	W015737	252
DU 297	Last Chance Prospect (Fishcan)	44.8947	-113.6117	160590249	W015738	253
DU 298	No. 185 Thorium Deposit	44.8856	-113.6072	N/A	N/A	254
DU 299	No. 186 Thorium Deposit	44.8819	-113.6042	N/A	N/A	255
DU 300	No. 188 Thorium Deposit	44.8561	-113.6136	N/A	N/A	257
DU 301	Laketown Dolomite Occurrence	44.8542	-113.6778	160590825	W015752	256
DU 302	SE Lemhi Limestone Occurrence	44.8306	-113.6789	160590827	N/A	258
DU 303	Little Saw Mill Creek Iron Occurrence	44.7917	-113.6475	160590254	W015751	260
DU 304	Nellie Group	44.7894	-113.7003	160590828	N/A	259
DU 305	Lucky Boy Prospect (Lucky Five)	44.7728	-113.6883	160590253	W015739	261
DU 306	Bluebird Prospect (Marsha Iron)	44.7669	-113.6469	160590255	W015740	262
DU 307	Second Chance	44.7414	-113.6706	N/A	N/A	N/A
DU 310	Copper Mountain	44.7089	-113.7275	160590416	N/A	318
DU 312	Black Rock Prospect	44.6736	-113.9447	160590267	W015790	315
DU 313	Hamilton Uranium Deposits (Hamilton & Ellis Uranium Prospect)	44.6728	-113.9392	160590268	W015791	316
DU 314	Nest Egg (Magnum Mining Corp.)	44.6608	-113.9736	160590455	D006763	317
