Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
DU 469	Bighorn Mine (Buckhorn; Big Horn; Metta; Mormon Gulch 1-3)	44.0172	-113.025	160230065	W015810	412
DU 470	Windfall (AU No. 27)	44.0444	-113.0239	160230086	N/A	N/A
DU 471	Sparrow	44.0061	-113.0114	160230115	N/A	N/A
IF 118	Lead Belt Mine (Antelope Mine; Big Dipper; Weiler Group)	43.6011	-113.6611	160230019	W015675	106
IF 120	Butte-Antelope Mine (Footwall Group; Lowboy Mine)	43.5889	-113.6681	160230018	W015665	107
IF 123	Copper Queen	43.5631	-113.6847	N/A	N/A	110
IF 124	Ella Mine (Rattlesnake)	43.6039	-113.5789	160230004	W015668	111
IF 125	Reliance Mine	43.6008	-113.5908	160230040	W015680	115
IF 126	St. Louis Mine	43.5942	-113.5914	160230014	W015681	116
IF 129	Hornsilver Mine (Horn Silver; Era-Hornsilver; ** add Champagne Mine *** )	43.5967	-113.5722	160230005	W015671	112
IF 130	Oxide Lode Prospect	43.5939	-113.5803	160230033	W015677	117
IF 131	Last Chance Mine	43.5864	-113.5786	160230079	W015674	118
IF 133	Antimony Prospect (Pickup)	43.5308	-113.6144	160230016	W015664	120
IF 134	Markell Prospect	43.5297	-113.5872	160230020	N/A	119
IF 137	Silver Tip Mine	43.5136	-113.6425	160230011	W015684	126
IF 138	Edna Mine (Ben Franklin)	43.5097	-113.6444	160230009	W015667	125
IF 139	Diamond Prospect (Zinc-Clarke Occurrence)	43.5064	-113.6475	160230012	W015666	127
IF 140	Wolframite Prospect (Independence Claims; Blizzard Mountain Hubnerite; Nelson Tungsten Property)	43.5003	-113.6706	160230017	W015652	124
IF 141	Hub Group (Rosa; Liberty; Lou Moore; Lost Mine; Mayflower)	43.5064	-113.6197	160230006	W015672	128
IF 142	Silver Bell Mine	43.5017	-113.6167	160230008	W015683	129
IF 147	Golden Chariot Mine	43.5003	-113.5881	160230010	W015669	134
IF 148	Little Cottonwood	43.4881	-113.5889	160230029	N/A	136
IF 149	Martin Property Mine	43.4869	-113.595	160230007	W015676	135
IF 153	Lucky Strike Claims (Copper King Group)	43.4697	-113.6053	160230015	W015659	137
IF 156	Johnson Property (B & N Group; Upper Johnson Prospect)	43.9911	-113.0206	160230027	W015673	146
IF 157	Luscomb (Lower Johnson Prospect; B & N Group)	43.9881	-113.0183	N/A	N/A	148
IF 159	Sentinel Mine (North Creek No. 1; Lindy)	43.9833	-113.0167	160230026	W015682	147
IF 160	Wilbert Mine (Daisy Black; Luscomb; Waymire)	43.9778	-113.0272	160230022	W015685	150
IF 164	Waymire	43.9714	-113.0022	160230028	N/A	149
IF 174	Great Western Mine (Ingersol; La Riviere Perdu Nos. 18-24; Hawley Property)	43.9503	-113.0181	160230025	W015670	151
IF 181	Ajax Mine (Pickup; Sherman; South Creek No. 20)	43.9325	-113.0053	160230024	W015663	153
IF 189	Protection Prospect (BC Nos. 23-24)	43.9069	-112.9833	160230023	W015679	156
IF 190	Silver King Prospect (South Creek Nos. 90-91, 103-104)	43.9064	-113.0208	160230003	W015703	155
IF 198	Whiterock Prospect (White Rock)	43.8889	-112.9875	160230021	W015701	157
IF 205	Fish Haven Dolomite	43.6533	-113.2261	160230080	N/A	145
