"IndexedObjectId","MinGX","MinGY","MaxGX","MaxGY"
3453,766965785,1195471765,766965785,1195471765
3454,767002293,1195463444,767002293,1195463444
3455,766833718,1194917717,766833718,1194917717
3456,766822444,1194914764,766822444,1194914764
3457,766849288,1194909395,766849288,1194909395
3458,766802311,1194893020,766802311,1194893020
3459,766730099,1194891517,766730099,1194891517
3460,766771977,1194887920,766771977,1194887920
3461,766774930,1194883357,766774930,1194883357
3462,766738958,1194880404,766738958,1194880404
3463,766777882,1194879599,766777882,1194879599
3464,766817344,1194879599,766817344,1194879599
3465,766823249,1194873693,766823249,1194873693
3466,766814391,1194872888,766814391,1194872888
3467,766783788,1194872082,766783788,1194872082
3468,766791251,1194868405,766791251,1194868405
3469,766780836,1194866982,766780836,1194866982
3470,766753186,1194863224,766753186,1194863224
3471,766784594,1194861614,766784594,1194861614
3472,766915030,1194876620,766915030,1194876620
3473,766856107,1194865426,766856107,1194865426
3474,766791305,1194857319,766791305,1194857319
3475,766815760,1194854098,766815760,1194854098
3476,766808002,1194851601,766808002,1194851601
3477,766801774,1194846850,766801774,1194846850
3478,766879301,1194838502,766879301,1194838502
3479,762692145,1197207430,762692145,1197207430
3480,762723554,1197135221,762723554,1197135221
3481,762709327,1197130658,762709327,1197130658
3482,762458870,1197118039,762458870,1197118039
3483,762414818,1197088780,762414818,1197088780
3484,762631211,1197054690,762631211,1197054690
3485,762737784,1197009862,762737784,1197009862
3486,762507996,1197010666,762507996,1197010666
3487,762451355,1197012008,762451355,1197012008
3488,762669065,1196826414,762669065,1196826414
3489,762600022,1196761372,762600022,1196761372
3490,762678192,1196790551,762678192,1196790551
3491,762663965,1196784646,762663965,1196784646
3492,762523328,1196775223,762523328,1196775223
3493,762493236,1196760754,762493236,1196760754
3494,762386502,1196782469,762386502,1196782469
3495,762456727,1196761559,762456727,1196761559
3496,762452969,1196750285,762452969,1196750285
3497,762847313,1196725055,762847313,1196725055
3498,762469345,1196686397,762469345,1196686397
3499,762625848,1196645328,762625848,1196645328
3500,762526794,1196567750,762526794,1196567750
3501,762860765,1196461828,762860765,1196461828
3502,763588478,1197140596,763588478,1197140596
3503,763566546,1197139415,763566546,1197139415
3504,763239448,1197113509,763239448,1197113509
3505,763309029,1197082344,763309029,1197082344
3506,763067431,1197030803,763067431,1197030803
3507,763330506,1197016578,763330506,1197016578
3508,763311983,1197013625,763311983,1197013625
3509,763406529,1197020283,763406529,1197020283
3510,763398395,1197011397,763398395,1197011397
3511,763406476,1196993493,763406476,1196993493
