"SequenceNumber","Names","NameKey","CompositeName","Metric","AutoNumber","Initials"
"EC0063","Zenith Mine","EC0063-12830","Zenith Mine",1,4318,
"EC0064","Golden Eagle Mining Co.","EC0064-04165","Golden Eagle Mining Co.",1,4319,
"EC0065","Hawk Placer","EC0065-04598","Hawk Placer (Night Hawk)",1,4320,
"EC0065","Night Hawk","EC0065-07583","Hawk Placer (Night Hawk)",1,4321,
"EC0066","Wagner Mine","EC0066-12271","Baner Group (Banner; Occident; Wagner Mine)",1,4322,
"EC0066","Baner Group","EC0067-00530","Baner Group (Banner; Occident; Wagner Mine)",1,4323,
"EC0066","Banner","EC0067-00535","Baner Group (Banner; Occident; Wagner Mine)",1,4324,
"EC0066","Occident","EC0067-07815","Baner Group (Banner; Occident; Wagner Mine)",1,4325,
"EC0068","Denver Gold","EC0068-02774","Grangeville Prospect (Joe Schoner; Denver Gold; Gold Zone)",1,4326,
"EC0068","Gold Zone","EC0068-04104","Grangeville Prospect (Joe Schoner; Denver Gold; Gold Zone)",1,4327,
"EC0068","Grangeville Prospect","EC0068-04312","Grangeville Prospect (Joe Schoner; Denver Gold; Gold Zone)",1,4328,
"EC0068","Joe Schoner","EC0068-05476","Grangeville Prospect (Joe Schoner; Denver Gold; Gold Zone)",1,4329,
"EC0069","Cleveland","EC0069-02108","Cleveland",1,4330,
"EC0070","Lux Placer","EC0070-06550","Lux Placer",1,4331,
"EC0071","Champion Group","EC0071-01901","Idaho Champion Deposit (Champion Group; Old Champion; Crown Point)",1,4332,
"EC0071","Crown Point","EC0071-02548","Idaho Champion Deposit (Champion Group; Old Champion; Crown Point)",1,4333,
