"SequenceNumber","Location_type","lon_WGS84","lat_WGS84"
"CH0569",0,-115.806904586,44.01423603959999
"CH0570",3,-115.827475194,44.0173358685
"CH0571",3,-115.808514699,44.0193259852
"CH0572",0,-115.790804203,44.01873611489999
"CH0573",0,-115.815204706,44.00623604899999
"CH0574",3,-115.820364812,44.0035660354
"CH0575",0,-115.784703839,44.0042362807
"CH0576",0,-115.803904328,44.0012361711
"CH0577",0,-114.682174453,44.0906431757
"CH0578",0,-114.709075155,44.0870430228
"CH0579",0,-114.665773874,44.0812433638
"CH0580",0,-114.671874,44.0779433496
"CH0581",0,-114.674674042,44.0751433536
"CH0582",0,-114.678274138,44.0748433317
"CH0583",0,-114.650173384,44.07704350389999
"CH0585",0,-114.6529733,44.06454358769999
"CH0586",0,-114.649073093,44.0570436758
"CH0587",0,-114.6532732,44.056243654
"CH0588",0,-114.661873421,44.0548436074
"CH0589",3,-114.654593159,44.0502336947
"CH0590",0,-114.639972801,44.05404376209999
"CH0591",3,-114.649663027,44.0506737244
"CH0592",3,-114.655613167,44.04867370069999
"CH0593",0,-114.649672974,44.04654375849999
"CH0594",0,-114.650772978,44.0445437676
"CH0595",3,-114.65518309,44.04373374439999
"CH0596",0,-114.706374409,44.0356434648
"CH0597",0,-114.665773201,44.0295437904
"CH0598",0,-114.661573073,44.0287438254
"CH0599",0,-114.671873323,44.025943779
"CH0600",0,-114.659372943,44.02344388429999
"CH0601",0,-114.639672406,44.0242440109
"CH0602",3,-114.657782874,44.0215239111
"CH0603",3,-114.671523038,44.0047139582
"CH0604",0,-114.706574065,44.0087436873
"CH0605",0,-114.701873952,44.0101437074
"CH0606",0,-114.696573791,44.0090437525
"CH0607",0,-114.700473877,44.00734374029999
"CH0608",0,-114.692473651,44.00704379699999
"CH0609",0,-114.696873759,44.00594377629999
"CH0610",0,-114.637972232,44.01454410309999
"CH0611",0,-114.656602661,44.0076240348
"CH0612",0,-114.660772715,44.002904046
"CH0613",0,-114.656872672,44.0079440303
"CH0614",0,-114.652672544,44.0070440662
"CH0615",0,-114.646572389,44.00814409829999
"CH0616",3,-114.654832593,44.0062040587
"CH0617",3,-114.66071272,44.0033640426
"CH0618",0,-114.661372735,44.00314404
"CH0619",0,-114.678573199,44.0020439328
"CH0620",0,-114.673573064,44.0023439641
"CH0621",0,-114.669072921,44.0009440063
"CH0622",0,-114.664972843,44.00374401059999
"CH0623",0,-114.633571941,44.0015442413
"CH0624",0,-115.996622741,44.9420276801
"CH0625",0,-115.940221161,44.941728088
"CH0626",0,-115.985521691,44.890128107
"CH0627",0,-115.99662185,44.8795280986
"CH0628",0,-115.991421571,44.8701281997
"CH0629",0,-115.960820354,44.8445285937
"CH0630",3,-115.939069954,44.8590986507
"CH0631",0,-115.9947207,44.80232864
"CH0632",3,-115.965819529,44.7764990268
"CH0633",0,-115.943618863,44.7731292095
"CH0634",0,-115.951618949,44.7634292198
"CH0635",0,-115.964418646,44.7167294565
"CH0636",0,-115.96411858,44.7126294877
"CH0637",0,-115.894415925,44.6617303498
"CH0638",3,-115.959988011,44.6803897469
"CH0639",0,-115.861614116,44.59763104829999
"CH0640",0,-115.992217075,44.5498304677
"CH0641",0,-115.918015026,44.55063099199999
"CH0642",0,-115.977216084,44.50873088159999
"CH0643",0,-115.917214412,44.5081313144
"CH0644",3,-115.988935955,44.47619104309999
"CH0645",3,-115.997256242,44.4802009533
"CH0646",3,-115.990536078,44.4817709895
"CH0647",0,-115.994116056,44.4731310293
"CH0648",0,-115.996615797,44.44953119069999
"CH0649",3,-115.980814646,44.3981616977
"CH0650",0,-115.954413488,44.3673321249
"CH0651",0,-115.833610221,44.37293294
"CH0652",0,-115.850510517,44.36043291719999
"CH0653",0,-115.792208634,44.3409334825
"CH0654",3,-115.801368761,44.3317734894
"CH0655",0,-115.967212553,44.2740327688
"CH0656",0,-115.758916875,44.9970290255
"CH0657",0,-115.711115193,44.97292952399999
"CH0658",3,-115.719534315,44.89411998529999
"CH0659",0,-115.708033631,44.8684402399
"CH0660",0,-115.673310407,44.7076315971
"CH0661",0,-115.715811204,44.67983149259999
"CH0662",0,-115.560206008,44.61813303709999
"CH0663",0,-115.680808938,44.58703241049999
"CH0664",3,-115.69900861,44.5268027254
"CH0665",0,-115.56330529,44.55983344019999
"CH0666",0,-115.510003678,44.5506338832
"CH0667",0,-115.486402554,44.5167342998
"CH0668",0,-115.568304347,44.4812339887
"CH0669",0,-115.566904262,44.47793402329999
"CH0670",3,-115.581634557,44.4695539826
"CH0671",3,-115.580414496,44.46761400579999
"CH0672",3,-115.581784566,44.4699039789
"CH0673",0,-115.537703442,44.4773342333
"CH0674",0,-115.545203593,44.4731342121
"CH0675",0,-115.53690334,44.4715342825
"CH0676",0,-115.526103055,44.4726343502
"CH0677",0,-115.550503695,44.46983419959999
"CH0678",0,-115.549103583,44.4645342494
"CH0679",0,-115.541403381,44.4654342968
"CH0680",0,-115.536403249,44.4659343282
"CH0681",0,-115.639405,44.38483422109999
"CH0682",0,-115.644705127,44.3834341945
"CH0683",0,-115.614404329,44.3865343841
"CH0684",3,-115.600503911,44.3841845001
"CH0685",0,-115.604403944,44.3787345146
"CH0686",3,-115.603713718,44.3635846366
"CH0687",0,-115.613903768,44.34653469729999
"CH0688",0,-115.585002046,44.2790354302
"CH0689",0,-115.573901613,44.269835581
"CH0690",0,-115.505199855,44.2806359771
"CH0691",0,-115.456398577,44.28623627429999
"CH0692",0,-115.46909891,44.2848361966
"CH0693",3,-115.484969245,44.277056147
"CH0694",3,-115.474689005,44.2803961925
"CH0695",3,-115.476909052,44.27927618579999
"CH0696",0,-115.469998868,44.2798362297
"CH0697",3,-115.471358879,44.2778962356
"CH0698",0,-115.45139822,44.2701364365
"CH0699",0,-115.489688981,44.24789634539999
"CH0700",0,-115.501399264,44.2448362878
"CH0701",0,-115.945509558,44.0992343468
"CH0702",0,-115.996610606,44.07293420409999
"CH0703",3,-115.936368811,44.0628947152
"CH0704",0,-115.911108074,44.05983491959999
"CH0705",0,-115.904107764,44.0512350414
"CH0706",0,-115.930008371,44.04343492389999
"CH0707",0,-115.921408111,44.04173499909999
"CH0708",0,-115.924108118,44.0367350222
"CH0709",0,-115.91440781,44.0337351161
"CH0710",3,-115.964139004,44.0209448725
"CH0711",0,-115.951408439,44.0051350969
"CH0712",0,-115.920807733,44.0151352284
"CH0713",0,-115.919407646,44.0115352688
"CH0714",3,-115.901447058,44.0046454543
"CH0715",0,-115.850506937,44.0990350206
"CH0716",0,-115.778904634,44.07483572709999
"CH0717",0,-115.805805293,44.0687355885
"CH0718",3,-115.801765029,44.05747571129999
"CH0719",0,-115.823605536,44.0504356165
"CH0720",0,-115.793004714,44.0520358187
"CH0721",0,-115.756403942,44.0695359298
"CH0722",0,-115.763604149,44.0701358741
"CH0723",0,-115.758303863,44.0598359975
"CH0724",3,-115.664411472,44.0745565342
"CH0725",3,-115.711242648,44.0659662771
"CH0726",0,-115.71830252,44.0420364281
"CH0727",0,-115.76220349,44.0242362696
"CH0728",0,-115.710002048,44.024036638
"CH0729",0,-115.720802199,44.0131366543
"CH0730",0,-115.758003273,44.0167363625
"CH0731",0,-115.71258184,44.0032867955
"CH0732",0,-115.680001232,44.0248368418
"CH0733",0,-115.663810628,44.01314705399999
"CH0734",0,-115.671080817,44.01233700989999
"CH0735",0,-115.665500645,44.0109370608
"CH0736",0,-115.66140146,44.07983651129999
"CH0737",0,-115.627700544,44.0809367384
"CH0738",0,-115.649101177,44.0840365626
"CH0739",0,-115.610200061,44.080936861
"CH0740",0,-115.573298884,44.06923721659999
"CH0741",0,-115.6339002,44.042637015
"CH0742",3,-115.571899958,44.1517665455
