"IndexedObjectId","MinGX","MinGY","MaxGX","MaxGY"
2501,263020697,1273178386,263020697,1273178386
2502,263028207,1273168889,263028207,1273168889
2503,263007654,1273167213,263007654,1273167213
2504,262992238,1273156598,262992238,1273156598
2505,263023860,1273154923,263023860,1273154923
2506,262940459,1273176709,262940459,1273176709
2507,262927849,1273192800,262927849,1273192800
2508,262971289,1273170564,262971289,1273170564
2509,262942593,1273171123,262942593,1273171123
2510,262957060,1273145425,262957060,1273145425
2511,262802116,1273148776,262802116,1273148776
2512,262839666,1273152128,262839666,1273152128
2513,262842829,1273133135,262842829,1273133135
2514,262895399,1273119171,262895399,1273119171
2515,262918719,1273128667,262918719,1273128667
2516,262975637,1273133136,262975637,1273133136
2517,262934925,1273119171,262934925,1273119171
2518,262963424,1273107721,262963424,1273107721
2390,271811061,1263982157,271811061,1263982157
2391,271847030,1263916992,271847030,1263916992
2392,271981025,1263903418,271981025,1263903418
2393,271818573,1263660799,271818573,1263660799
2394,271698809,1263592984,271698809,1263592984
2395,270207869,1263956076,270207869,1263956076
2396,269934741,1264028852,269934741,1264028852
2397,269612995,1264078282,269612995,1264078282
2398,269014566,1264004402,269014566,1264004402
2399,269052907,1263932173,269052907,1263932173
2400,269126426,1263936518,269126426,1263936518
2401,269210538,1263916753,269210538,1263916753
2402,268880573,1263821958,268880573,1263821958
2403,269051723,1263755740,269051723,1263755740
2404,269262795,1263635278,269262795,1263635278
2405,269213388,1263454123,269213388,1263454123
2406,269992850,1263366842,269992850,1263366842
2407,270389299,1263457386,270389299,1263457386
2408,270570333,1263150082,270570333,1263150082
2409,270816187,1263165253,270816187,1263165253
2410,271201570,1263160922,271201570,1263160922
2583,262886708,1272570561,262886708,1272570561
2584,262859435,1272559409,262859435,1272559409
2585,262857064,1272531530,262857064,1272531530
2586,262764968,1272397187,262764968,1272397187
2587,262975642,1272592310,262975642,1272592310
2588,263021888,1272587292,263021888,1272587292
2589,263034932,1272586177,263034932,1272586177
2590,263043628,1272573351,263043628,1272573351
2591,262994220,1272575023,262994220,1272575023
2592,263060229,1272556623,263060229,1272556623
2593,263002916,1272533204,263002916,1272533204
2594,262916354,1272510344,262916354,1272510344
2595,262910820,1272493062,262910820,1272493062
2596,262875642,1272483584,262875642,1272483584
2597,262964576,1272507000,262964576,1272507000
2598,262960228,1272488602,262960228,1272488602
2599,262952718,1272472993,262952718,1272472993
2600,262957066,1272461845,262957066,1272461845
2601,262950347,1272452926,262950347,1272452926
2602,262940465,1272426728,262940465,1272426728
2603,262895405,1272413908,262895405,1272413908
2604,262929398,1272383256,262929398,1272383256
2605,262949162,1272375454,262949162,1272375454
2606,263131377,1272508674,263131377,1272508674
2607,263027423,1272488603,263027423,1272488603
2608,263017542,1272465190,263017542,1272465190
2609,263000941,1272443450,263000941,1272443450
2610,263047187,1272389388,263047187,1272389388
2611,263022404,1272388997,263022404,1272388997
2612,263638836,1270502659,263638836,1270502659
2613,263620535,1270504598,263620535,1270504598
2614,263593697,1270480331,263593697,1270480331
2615,263592670,1270470747,263592670,1270470747
2616,263574092,1270464653,263574092,1270464653
2617,263589508,1270456898,263589508,1270456898
2618,263566464,1270456842,263566464,1270456842
2619,263626662,1270454128,263626662,1270454128
2620,263697020,1270430863,263697020,1270430863
2621,263588322,1270443048,263588322,1270443048
2622,263555515,1270440278,263555515,1270440278
2623,263511641,1270435293,263511641,1270435293
2624,263577255,1270398736,263577255,1270398736
2625,263544448,1270398735,263544448,1270398735
2626,263531444,1270407376,263531444,1270407376
2627,263497016,1270379904,263497016,1270379904
2628,263482787,1270357197,263482787,1270357197
2629,263529072,1270370932,263529072,1270370932
