"ID","Reference_ID","Metric","AuthorType","LastName","Initials","FirstName","Suffix","in"
171,893,1,1,"Savage",,,,FALSE
172,894,1,1,"Savage",,,,FALSE
173,1,1,1,"Abbott","A.T.",,,FALSE
174,2,1,1,"Ach","J.A.",,,FALSE
175,3,1,1,"Adams","J.",,,FALSE
176,5,1,1,"Albee","H.F.",,,FALSE
177,6,1,1,"Allen","R.M.",,"Jr.",FALSE
178,7,1,1,"Allen","R.M.",,,FALSE
179,10,1,1,"Anderson","A.L.",,,FALSE
180,11,1,1,"Anderson","A.L.",,,FALSE
181,12,1,1,"Anderson","A.L.",,,FALSE
182,13,1,1,"Anderson","A.L.",,,FALSE
183,14,1,1,"Anderson","A.L.",,,FALSE
184,15,1,1,"Anderson","A.L.",,,FALSE
185,16,1,1,"Anderson","A.L.",,,FALSE
186,17,1,1,"Anderson","A.L.",,,FALSE
187,18,1,1,"Anderson","A.L.",,,FALSE
188,19,1,1,"Anderson","A.L.",,,FALSE
189,20,1,1,"Anderson","A.L.",,,FALSE

The free trial of MDB ACCDB Viewer exports only half of the records in each table.
