"KeyField","RecordID","MapLoc","PropertyName","LastUpdated","Action_taken","Notes","Notes2"
1219,"EC0783","EC0783","Mammoth Mine","2001-10-29 00:00:00","named changed","Primary name changed from ""Mammoth Deposit"" to ""Mammoth Mine.""  At one time, Bunker Hill had a sizeable operation at this site.",
1220,"EC0783","EC0783","Mammoth Mine","2001-10-29 00:00:00","references updated","AML site inspection report added to references.",
1221,"EC0196","EC0196","Dixie Royal Mine","2001-10-29 00:00:00","references updated","AML site inspection report added to references.",
1222,"EC0609","EC0609","Union Claim Group","2001-10-29 00:00:00","references updated","AML site inspection report added to references.",
1223,"EC0601","EC0601","Hematite Mine","2001-10-29 00:00:00","references updated","AML site inspection report added to references.",
1224,"EC0602","EC0602","Goldmaster Mine","2001-10-29 00:00:00","references updated","AML site inspection report added to references.",
1225,"EC0603","EC0603","Utopia","2001-10-29 00:00:00","references updated","AML site inspection report added to references.",
1226,"EC1265","EC1265","Unnamed Mine (E5179901)","2001-10-30 00:00:00","property added","Property added from IGS's AML site inspection report.",
1227,"EC1266","EC1266","Unnamed Site (E5309901)","2001-10-30 00:00:00","property added","Property added from IGS's AML site inspection report.",
1228,"EC1267","EC1267","Unnamed Prospect (E5319907)","2001-10-30 00:00:00","property added","Property added from IGS's AML site inspection report.",
1229,"EC1268","EC1268","Unnamed Prospect (E6049901)","2001-10-30 00:00:00","property added","Property added from IGS's AML site inspection report.",
1230,"EC1269","EC1269","Unnamed Mine (E6069901)","2001-10-30 00:00:00","property added","Property added from IGS's AML site inspection report.",
1231,"EC1270","EC1270","Unnamed Mine (E6079901)","2001-10-30 00:00:00","property added","Property added from IGS's AML site inspection report.",
1232,"EC0563","EC0563","Strickna","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1233,"EC0562","EC0562","Pasadena Prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1234,"EC0561","EC0561","Hercules Prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1235,"EC0560","EC0560","Alberta Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1236,"EC0058","EC0058","Gold Point Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1237,"EC0057","EC0057","Laurel Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1238,"EC0047","EC0047","Mother Lode Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1239,"EC0051","EC0051","Blue Ribbon Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1240,"EC0052","EC0052","Unnamed mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1241,"EC0053","EC0053","American Eagle Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1242,"EC0557","EC0557","Ten Million Prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1243,"EC0559","EC0559","Union","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1244,"EC0060","EC0060","Hornet","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1245,"EC0003","EC0003","Madre d'Oro Prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1246,"EC0015","EC0015","Old Lemroe Deposit","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1247,"EC0013","EC0013","Hoffstetter","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1248,"EC0036","EC0036","Mascot Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1249,"EC0037","EC0037","Rand Prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1250,"EC0012","EC0012","Congress","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1251,"EC0008","EC0008","Sultan Shaft","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1252,"EC0007","EC0007","Allamance Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1253,"EC0554","EC0554","Altemont Prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1254,"EC0115","EC0115","Homestake Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1255,"EC0116","EC0116","Penman Deposit","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1256,"EC0110","EC0110","Diamond Hitch Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1257,"EC0107","EC0107","Petsite Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1258,"EC0114","EC0114","Unnamed prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1259,"EC0111","EC0111","Twin Butte Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1260,"EC1271","EC1271","Unnamed Prospect (E6219901)","2001-10-30 00:00:00","property added","Property added from IGS's AML site inspection report.",
1261,"EC1272","EC1272","Unnamed Prospect (E7029907)","2001-10-30 00:00:00","property added","Property added from IGS's AML site inspection report.",
1262,"EC1273","EC1273","Unnamed Prospect (E7029908)","2001-10-30 00:00:00","property added","Property added from IGS's AML site inspection report.",
1263,"EC1274","EC1274","Unnamed Prospect (E7039901)","2001-10-30 00:00:00","property added","Property added from IGS's AML site inspection report.",
1264,"EC1275","EC1275","Unnamed Mine (E7069906)","2001-10-30 00:00:00","property added","Property added from IGS's AML site inspection report.",
1265,"EC1276","EC1276","Unnamed Prospects (E7269901)","2001-10-30 00:00:00","property added","Property added from IGS's AML site inspection report.",
1266,"EC1277","EC1277","Unnamed Mine (8109901)","2001-10-30 00:00:00","property added","Property added from IGS's AML site inspection report.",
1267,"EC0106","EC0106","Vendetta Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1268,"EC0105","EC0105","Cosmopolitan Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1269,"EC0548","EC0548","Trout Group","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1270,"EC0071","EC0071","Idaho Champion Deposit","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1271,"EC0083","EC0083","Gnome Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1272,"EC0082","EC0082","Unnamed mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1273,"EC0089","EC0089","Unnamed Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1274,"EC0093","EC0093","Unnamed prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1275,"EC0094","EC0094","Unnamed prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1276,"EC0095","EC0095","Unnamed prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1277,"EC0101","EC0101","Butte & Orogrande Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1278,"EC0102","EC0102","Iola","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1279,"EC0104","EC0104","Double Diamond Hitch #1","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1280,"EC0103","EC0103","Knob Hill Pit","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1281,"EC0109","EC0109","Snowshoe Lode","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1282,"EC0108","EC0108","Belevedore Mine","2001-10-30 00:00:00","reference updated","AML site inspection report added to references.",
1283,"EC0098","EC0098","Umatilla Prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1284,"EC0550","EC0550","Black Lady Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1285,"EC0063","EC0063","Zenith Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1286,"EC0062","EC0062","Lucky Strike","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1287,"EC0066","EC0066","Baner Group","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1288,"EC0068","EC0068","Grangeville Prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1289,"EC0585","EC0585","Portland Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1290,"EC0079","EC0079","Bullion Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1291,"EC0077","EC0077","Una Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1292,"EC0075","EC0075","Six Mile Mine","2001-10-30 00:00:00","reference changed","Reference changed from ""No reference"" to IGS AML site inspection report.",
1293,"EC0076","EC0076","North Hill Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1294,"EC0521","EC0521","Haystack Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1295,"EC0520","EC0520","Blue Eagle","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1296,"EC0522","EC0522","Fourmile Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1297,"EC0519","EC0519","Wild Hope Placer","2001-10-30 00:00:00","data reordered","Wild Hope placer production was moved to line EC-519a, following lode production for main site.",
1298,"EC0519","EC0519","Wild Hope Mine","2001-10-30 00:00:00","data reordered","Wild Hope Mine data re-ordered to follow production data for the property.",
1299,"EC0519","EC0519","Wild Hope Mine","2001-10-30 00:00:00","production transferred","Wild Hope tailings production transferred to this property.",
1300,"EC0515","EC0515","Couer d'Alene Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1301,"EC0519","EC0519","Wild Hope Placer","2001-10-30 00:00:00","data transferred","Wild Hope placer production was re-linked to this record.",
1302,"EC1278","EC1278","Red River Quarry (E8149901)","2001-10-30 00:00:00","property added","Property added from IGS's AML site inspection report.",
1303,"EC1279","EC1279","Unnamed Shaft (E8179910)","2001-10-30 00:00:00","property added","Property added from IGS's AML site inspection report.",
1304,"EC1280","EC1280","Ajax Mine (E8209901)","2001-10-30 00:00:00","property added","Property added from IGS's AML site inspection report.",
1305,"EC1281","EC1281","Unnamed Mine (E9169902)","2001-10-30 00:00:00","property added","Property added from IGS's AML site inspection report.",
1306,"EC1282","EC1282","Rainy Day Creek Prospect (K7070001)","2001-10-30 00:00:00","property added","Property added from IGS's AML site inspection report.",
1307,"EC0514","EC0514","Wonder Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1308,"EC0513","EC0513","Buckhorn Deposit","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1309,"EC0519","EC0519","Gilt Edge Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1310,"EC0544","EC0544","Center Star Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1311,"EC0148","EC0148","Jumbo Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1312,"EC0150","EC0150","Venture Prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1313,"EC0149","EC0149","Unnamed prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1314,"EC0146","EC0146","Dewey Occurrence","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1315,"EC0147","EC0147","St. Louis Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1316,"EC0136","EC0136","Alhambra Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1317,"EC0121","EC0121","Dice","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1318,"EC1283","EC1283","Rob Roy","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1319,"EC0616","EC0616","Wiseboy Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1320,"EC0615","EC0615","North Star Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1321,"EC0132","EC0132","Mother Lode Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1322,"EC0144","EC0144","Spokane Prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1323,"EC0142","EC0142","Tiger Prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1324,"EC0143","EC0143","Altoona Claim","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1325,"EC0025","EC0025","Brown Bear Prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1326,"EC0502","EC0502","Tungstar Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1327,"EC0506","EC0506","Scheelite Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1328,"EC0509","EC0509","Sentinel Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1329,"EC0510","EC0510","Clearwater Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1330,"EC0512","EC0512","Blackbird Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1331,"EC0467","EC0467","Unnamed prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1332,"EC0468","EC0468","Iron Mountain Group","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1333,"EC0474","EC0474","Iron Crown Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1334,"EC0475","EC0475","Northern Pacific","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1335,"EC0481","EC0481","Little Giant","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1336,"EC0482","EC0482","Golden Age Prospect","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1337,"EC0490","EC0490","Mackey Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1338,"EC0491","EC0491","Buffalo-Idaho Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1339,"EC0492","EC0492","New York Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1340,"EC0486","EC0486","Illinois","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1341,"EC0016","EC0016","Buster Mine","2001-10-30 00:00:00","references updated","AML site inspection report added to references.",
1342,"CH0069a","CH0069a","Sunnyside Mine","2001-10-30 00:00:00","production labeled","Label added to identify this record as ""placer production.""",
1343,"CH0069","CH0069","Sunnyside Mine","2001-10-30 00:00:00","Ore units changed","Ore units changed from ""yds"" to ""ton,"" to reflect production records.  Placer production is shown on the next record.",
1344,"BO0467","BO0467","Unnamed Prospect (K7199901)","2001-10-31 00:00:00","property added","Property added from IGS's AML site inspection report.",
1345,"BO0468","BO0468","Tap Root Prospect (K7199903)","2001-10-31 00:00:00","property added","Property added from IGS's AML site inspection report.",
1346,"BO0469","BO0469","Unnamed Prospect (B7259901)","2001-10-31 00:00:00","property added","Property added from IGS's AML site inspection report.",
1347,"BO0470","BO0470","Unnamed Prospect (B7259902)","2001-10-31 00:00:00","property added","Property added from IGS's AML site inspection report.",
1348,"BO0471","BO0471","Unnamed Prospects (K7219901)","2001-10-31 00:00:00","property added","Property added from IGS's AML site inspection report.",
1349,"BO0472","BO0472","Unnamed Prospect (K7249901)","2001-10-31 00:00:00","property added","Property added from IGS's AML site inspection report.",
1350,"BO0473","BO0473","Unnamed Prospect (K7249902)","2001-10-31 00:00:00","property added","Property added from IGS's AML site inspection report.",
1351,"BO0474","BO0474","Unnamed Prospect (K7259902)","2001-10-31 00:00:00","property added","Property added from IGS's AML site inspection report.",
1352,"BO0475","BO0475","Home Resort Mine (K7259903)","2001-10-31 00:00:00","property added","Property added from IGS's AML site inspection report.",
1353,"BO0476","BO0476","Whiskey Prospect (B7249903)","2001-10-31 00:00:00","property added","Property added from IGS's AML site inspection report.",
1354,"BO0477","BO0477","Unnamed Prospect (B7249904)","2001-10-31 00:00:00","property added","Property added from IGS's AML site inspection report.",
1355,"BO0116","BO0116","Florida Mountain Tunnel","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1356,"BO0192","BO0192","Cape Horn Mine","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1357,"BO0205","BO0205","Oro Fino Mine","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1358,"BO0203","BO0203","Golden Chariot Shaft","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1359,"BO0204","BO0204","Ida Elmore","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1360,"BO0210","BO0210","Cumberland Mine","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1361,"BO0211","BO0211","Minnesota Shaft","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1362,"BO0212","BO0212","South Chariot Shaft","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1363,"BO0202","BO0202","Mahogany Mine","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1364,"BO0214","BO0214","Mountain Chief Mine","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1365,"BO0213","BO0213","Red Jacket Mine","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1366,"JV0010","JV0010","Afterthought Mine","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1367,"BO0207","BO0207","Red Jacket Shaft, 1885","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1368,"BO0201","BO0201","Dernier Resort","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1369,"BO0200","BO0200","San Juan Tunnel, 1885","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1370,"BO0199","BO0199","San Juan Tunnel","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1371,"BO0196","BO0196","San Juan Shaft","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1372,"BO0197","BO0197","War Eagle Shaft","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1373,"BO0198","BO0198","Stormy Hill Shaft","2001-10-31 00:00:00","references updated","AML site inspection report added to references.",
1374,"BO0182","BO0182","Jackson Claim","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1375,"BO0183","BO0183","Silver Cord Mine","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1376,"BO0184","BO0184","Empire Shaft","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1377,"BO0185","BO0185","Idlewild","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1378,"JV0009","JV0009","Pauper Mine","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1379,"BO0195","BO0195","Illinois Central Shaft","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1380,"JV0011","JV0011","Caldwell Shaft","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1381,"JV0012","JV0012","Never Sweat Mine","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1382,"JV0012","JV0012","Never Sweat Mine","2001-11-02 00:00:00","synonym added","""Neversweat"" added as synonym, based on spelling in IGS's mineral property files.",
1383,"BO0194","BO0194","Poorman South Shaft","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1384,"BO0178","BO0178","Owyhee Tunnel","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1385,"BO0180","BO0180","Owyhee Shaft","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1386,"BO0179","BO0179","Poorman North Shaft","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1387,"BO0186","BO0186","General Connor Claim","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1388,"BO0181","BO0181","Oso Adit","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1389,"BO0188","BO0188","Mississippi","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1390,"BO0174","BO0174","Belle Peck Adit","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1391,"BO0173","BO0173","Ruth Claim","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1392,"BO0170","BO0170","Bishop Tunnel, 1885","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1393,"BO0176","BO0176","Village Blacksmith","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1394,"BO0175","BO0175","Deluge Claim","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1395,"BO0158","BO0158","Potosi Mine","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1396,"JV0181","JV0181","Unnamed Prospect (B7229901)","2001-11-02 00:00:00","property added","Property added from IGS's AML site inspection report.",
1397,"JV0028","JV0028","North Extension of the Silver Queen","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1398,"JV0027","JV0027","Treasure Vault Mine","2011-01-21 00:00:00","hardfile","For additional hardfile information, see Sunshine file in JV-33.",
1399,"JV0018","JV0018","Nellie Ann Mine","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1400,"JV0021","JV0021","Martin Prospect","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1401,"JV0016","JV0016","Unnamed prospects","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1402,"JV0022","JV0022","Jefferson Claim","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1403,"JV0024","JV0024","Hornet Claim Prospect","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1404,"JV0025","JV0025","Doughboy Prospect","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1405,"JV0030","JV0030","Crescent Mine","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1406,"JV0031","JV0031","Silver Queen Mine","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1407,"JV0036","JV0036","Rising Star Mine","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1408,"JV0153","JV0153","Standard Shaft","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1409,"JV0154","JV0154","Standard Tunnel","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1410,"JV0151","JV0151","Texas Shaft","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1411,"JV0144","JV0144","Laxey Tunnel","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1412,"JV0140","JV0140","Golconda, old tunnel","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1413,"JV0138","JV0138","Golconda, new tunnel","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1414,"JV0135","JV0135","Illinois Shaft","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1415,"JV0134","JV0134","Bay State Shaft","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1416,"JV0133","JV0133","Independence Shaft","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1417,"JV0132","JV0132","Bay State Tunnel","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1418,"JV0128","JV0128","Mexican Shaft","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1419,"JV0127","JV0127","Washington Tunnel","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1420,"JV0092","JV0092","Silver Rock Mine","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1421,"JV0091","JV0091","Unnamed prospects","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1422,"JV0090","JV0090","Unnamed prospects","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1423,"JV0089","JV0089","Unnamed prospects","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1424,"JV0093","JV0093","Unnamed prospect","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1425,"JV0094","JV0094","Unnamed prospect","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1426,"JV0095","JV0095","Unnamed prospects","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1427,"JV0096","JV0096","Unnamed prospects","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1428,"JV0097","JV0097","Unnamed prospects","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1429,"JV0098","JV0098","Unnamed prospects","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1430,"JV0099","JV0099","Payette Claims","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1431,"JV0100","JV0100","Lucky Day Group","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1432,"JV0104","JV0104","Unnamed prospects","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1433,"JV0078","JV0078","Unnamed prospect","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1434,"JV0079","JV0079","Unnamed prospects","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1435,"JV0073","JV0073","Unnamed prospect","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1436,"JV0083","JV0083","Bluebird Mine","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1437,"JV0084","JV0084","Bluebird Mine","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1438,"JV0085","JV0085 Bluebird0Mine0085","Bluebird Mine","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1439,"JV0087","JV0087","Unnamed prospects","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1440,"JV0088","JV0088","Unnamed prospects","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1441,"JV0074","JV0074","Mayday Group","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1442,"JV0075","JV0075","May Day","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1443,"JV0075","JV0075","May Day","2001-11-02 00:00:00","references updated","USBM MPF left as part of references; IGS mineral property files added, instead of replacing USBM file number.",
1444,"JV0076","JV0076","Mayday Group","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1445,"JV0077","JV0077","Mayday Group","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1446,"JV0071","JV0071","Golden Crown Mine","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1447,"JV0072","JV0072","Unnamed Prospect","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1448,"JV0067","JV0067","Badger","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1449,"JV0066","JV0066","Friday Claims","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1450,"JV0063","JV0063","Amie No. 1 and 2","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1451,"JV0061","JV0061","Unnamed prospects","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1452,"JV0060","JV0060","Unnamed prospects","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1454,"JV0064","JV0064","Overall","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1455,"JV0062","JV0062","Roadside","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1456,"JV0069","JV0069","Last Chance Prospect","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1457,"BO0447","BO0447","Matteson Mine","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1458,"BO0411","BO0411","Monarca","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1459,"BO0410","BO0410","Berg Mine","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1460,"BO0408","BO0408","Ida Belle Mine","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1461,"BO0427","BO0427","Gold Nugget Group","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1462,"JV0041","JV0041","Rose Quartz","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1463,"JV0042","JV0042","McCall Mine","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1464,"JV0046","JV0046","Boulder Creek Mines","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1465,"BO0436","BO0436","Nugent Mine","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1466,"BO0435","BO0435","Slacks Mountain Prospects","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1467,"BO0190","BO0190","Great Western Mines Co.","2001-11-02 00:00:00","references updated","AML site inspection report added to references.",
1468,"DU0364","DU0364","Kimmel","2004-06-09 00:00:00","synonym deleted","""Lead Hill"" deleted as synonym.  This is a synonym for the Leadville Mine (DU-365).",
1469,"DU0365","DU0365","Sunset Mine","2004-06-09 00:00:00","synonym added","""Lead Hill"" added as synonym.  This appears to be the name the most recent operators have used for the mine.",
1470,"CH0021","CH021","Rainbow Peak Prospect","2004-06-24 00:00:00","references updated","MLA 5-91 and MLA 6-91 added to references.",
