"KeyField","RecordID","MapLoc","PropertyName","LastUpdated","Action_taken","Notes","Notes2"
81,"CH0670","CH00670","Deadwood Mine","1999-08-12 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd 1950;      Ore:  A ton;   Commod:  Au: A oz; Ag: D oz; Cu: D lbs; Pb: E lbs; Zn: E lbs",
82,"CH0671","CH00671","Lost Pilgrim Mine","1999-08-12 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd 1929-1931, 1939-1947  Ore: I ton  Commod:  Au: E oz; Ag: J oz; Cu: I lbs; Pb: L lbs; Zn: O lbs",
83,"CH0684","CH00684","Mary Jane","1999-08-12 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd 1904, 1925, 1932, 1934   Ore: C ton    Commod:  Au: B oz; Ag: A oz",
84,"CH0686","CH00686","Mary Blue","1999-08-12 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd 1905 -1914, 1923 -1927, 1931 -1933  Ore:  E ton   Commod:  Au: E oz; Ag: E oz; Cu: A lbs; Pb: B lbs Zn",
85,"CH0730","CH00730","Viking","1999-08-12 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd 1938,  1942-1944   Ore:  C ton   Commod:  Au: B oz; Ag: A oz",
86,"CH0783","CH00783","New Hope (Hancock)","1999-08-12 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd 1909, 1911     Ore:  A  ton    Commod: Au: A oz;  Ag A oz",
87,"CH0836","CH00836","Trappers Flat","1999-08-12 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd 1906              Ore:  B ton     Commod: Au: A oz; Ag: A oz",
88,"CH0930","CH00930","Cougar Mine","1999-08-12 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd 1936, 1937     Ore:  B ton     Commod: Au: C oz; Ag: C oz; Pb: C lbs",
89,"CH0934","CH00934","Lucky Lad Mine","1999-08-12 00:00:00","Changed Production Data","Changed Prod fields as follows as per records:  Ore: ""B ton"" --> ""D ton""   Commod: Au: ""A"" to ""D"";    no change in rest",
90,"CH0997","CH00997","Homestake Mine","1999-08-12 00:00:00","Changed Commod Field","Changed Prod fields as follows as per records:  Commod:  Ag to Ag: B oz",
91,"CH1021","CH01021","Golden Day","1999-08-12 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd 1937    Ore:  A ton   Commod:  Au: A oz; Ag: A oz; Pb: C lbs",
92,"CH1099","CH01099","Elk Creek Mine","1999-08-12 00:00:00","Changed Production Data","Changed Prod fields as follows as per records:  Ore:  From ""D ton/A ton"" to ""C ton""",
93,"CH1208","CH01208","Clayton Mine","1999-08-12 00:00:00","Changed Production Data","Changed Prod fields as follows as per records:  Ore ""A ton"" to ""K ton""",
94,"CH1232","CH1232","Redbird Mine","1999-08-12 00:00:00","Changed Production Data","Changed Prod fields as follows as per records: Ore ""D ton"" to ""H ton""",
95,"CH1249","CH01249","Katherine","1999-08-12 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd 1916, 1917     Ore:  A ton    Commod:  Ag: D oz; Cu: D lbs; Pb: G lbs",
96,"CH1272","CH1272","Hoodoo Prospects","1999-08-12 00:00:00","Changed Production Data","Changed Prod field as follows as per records: Ore from ""G ton"" to ""H ton""",
97,"CH1283","CH1283","Livingston Mine","1999-08-12 00:00:00","Changed Production Data","Changed Prod field as follows as per records:  Ore from ""G ton/A ton"" to ""H ton/H ton""",
98,"CH0069a","CH00069a","Sunnyside Mine","1999-08-12 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd 1936-1940   Ore E yds    Commod: Au: C oz; Ag: C oz",
99,"CH0106","CH00106","High Bar Placer","1999-08-12 00:00:00","Changed Production Data","Changed Prod field as follows as per records:  Commod:  Au: From ""E"" to ""A"".   It was hard to decipher the ""."" in the number.",
100,"CH0462","CH0462","Stanley Five Placers","1999-08-12 00:00:00","Changed Production Data","Changed Prod field as follows as per records:  Ore:  From A yds to G yds",
101,"CH0683","CH00683","Deadwood Placer Deposit","1999-08-12 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd  1901, 1907, 1908    Ore Unknown yards      Au:  D oz; Ag: B oz",
102,"CH0722","CH00722","Gold Nugget","1999-08-12 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd  1935 -1941   Ore:  E yds     Commod:  Au: B oz, Ag: A oz",
103,"CH0763","CH00763","Missouri Ridge","1999-08-12 00:00:00","Added Production Data","Added Production data as per records:  PeriodProd  1938            Ore:  B yds     Commod:  Au: A oz",
104,"CH0458","CH00458","Buckley Bar Placer","1999-08-13 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd 1940;        Ore:  A ton;       Commod:  Au:  A oz",
105,"DI0125","DI00125","Tormey Mine","1999-08-13 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd 1918 -1920, 1952-1957, 1971-1973  Ore:  E ton/A ton    Commod:  Au: A oz; Ag: D oz; Cu: I lbs",
106,"DI0130","DI0130","Pope-Shenon","1999-08-13 00:00:00","Changed Production Data","Changed Cu quantity in Commod field as per report, appears to have been a lookup error.",
107,"DU0056","DU0056","Blue Bird Mine (Bluebird)","1999-08-13 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd 1917, 1951, 1952    Ore:  A ton/A ton     Commod:  Au:  A oz; Ag:  B oz;  Cu:  E lbs",
108,"DU0064","DU0064","Copper Queen Mine","1999-08-13 00:00:00","Changed Production Data","Changed Prod data as per records as follows:   Ore:  From ""E ton/E ton""  To ""G ton/E ton""",
109,"DU0112","DU0112","Dixie Claim Group","1999-08-13 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd 1905, 1910, 1916, 1924, 1926, 1916, 1956, 1958   Ore: C ton     Commod:  Au: A oz; Ag: E oz; Cu: E lbs; Pb: I lbs; Zn: E lbs",
110,"DU0177","DU0177","Snowslide","1999-08-13 00:00:00","Changed Production Data","Changed Prod data as per records as follow:  Added the value for Zn to the commod field as it was omitted.",
111,"EC0014","EC0014","Congress Group Placer","1999-08-17 00:00:00","Updated Production Data","Changed Ore value from G yds to J yds as per records",
112,"EC0016p","EC0016a","Buster Mine","1999-08-17 00:00:00","Updated Production Data","Changed Ore value from K to I yds    Changed Commod field from   Au: G to F oz      changed PeriodProd years from 1948-1950 to 1904- 1910, 1921- 1954",
114,"EC0209","EC0209","McGovern and Hackney","1999-08-17 00:00:00","Updated Production Data","Changed Ore value from A to K yds",
115,"EC0210","EC0210","Warren Meadows","1999-08-17 00:00:00","Updated Production Data","Changed Ore value from A to Q",
116,"EC0224","EC0224","Steamboat Creek Placer","1999-08-17 00:00:00","Updated Production Data","Changed Ore value from G to K",
117,"EC0290","EC0290","Lucky Boy","1999-08-17 00:00:00","Added Production Data","Added Production Values as per records:  PeriodProd: 1936, 1948  Ore:  B yds  Commod: Au: A oz",
118,"EC0318","EC0318","Protection Claim","1999-08-17 00:00:00","Added Production Data","Added Production Values as per records:  PeriodProd: 1948- 1950  Ore:  K yds  Commod: Au: G oz; Ag: E oz",
119,"EC0729","EC0729","Buck Placer","1999-08-17 00:00:00","Changed Production Data","Changed Ore field as per record from G yds to I yds",
120,"EC0733","EC0733","Schissler Creek Placer","1999-08-17 00:00:00","Changed Production Data","Changed Ore field as per records from A yds to G yds",
121,"EC0875","EC0875","Last Chance Claim","1999-08-17 00:00:00","Added Production Data","Added Production Values as per records:  PeriodProd: 1935, 1937  Ore: D yds   Commod: Au: A oz; Ag: A oz",
122,"EC0876","EC0876a","Beaver Creek Placer","1999-08-17 00:00:00","Added Production Data","Added Production Values as per records:  PeriodProd:  1939          Ore: D yds   Commod: Au: A oz; Ag: A oz",
123,"EC1152","EC1152","Moose Creek placer","1999-08-17 00:00:00","Changed Production data","Changed Production Values as per records: Ore:  From G to I yds",
124,"EC1233","EC1233","Napias Creek Placer area","1999-08-17 00:00:00","Added Production Data","Added Production Values as per records:  PeriodProd: 1902-03, 1906, 1935- 1940, 1947, 1950, 1958- 59  Ore: E yds/C ton  Commod:  Au: C oz; Ag: A oz  RE",
125,"EC0419","EC0419","Crooked River","1999-08-17 00:00:00","Added Production Data","Added Production Values as per records:  PeriodProd: 1938 -1946     Ore:  J yds    Commod:  Au: F oz; Ag: E oz",
126,"EC1147","EC1147","Blue Moon","1999-08-17 00:00:00","Added Production Data",,
127,"EC0065","EC0065","Night Hawk","1999-08-17 00:00:00","Updated Production Data","Changed Produciton Values as per records: Ore: G yds (from A yds)",
128,"EC0579","EC0579","Little Moose","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore: From A to I yds",
129,"EC0035","EC0035","Ross","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore: From E yds to H yds",
130,"EC0042","EC0042","Red Horse Placer","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore: From G yds to I yds",
131,"EC0497","EC0497","Moose Creek Placers","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore: From A yds to I yds",
132,"EC0494","EC0494","Keyes Placer","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore: From A yds to H yds",
133,"EC0478","EC0478","Newsome Creek","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore: From G yds to K yds",
134,"EC0186","EC0186","Dixie Placers","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore: From G yds to I yds",
135,"EC0572","EC0572","Tyee Placer","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore: From A yds to J yds",
136,"EC0532","EC0532","Little Elk","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore: From G yds to I yds",
137,"EC0017","EC0017","Buffalo Gulch","1999-08-17 00:00:00","Added Production Data","Added Production Data  PeriodProd:  1934,1940, 1951  Ore: E yds  Commod:  Au: D oz; Ag: C oz",
138,"EC0023","EC0023","Cal- Idaho (Gold Hill)","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore:  From G yds to I yds",
139,"EC0022","EC0022","American River Mining Co","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore:  From F yds to J yds",
140,"EC0524","EC0524","Smith Placer","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore:  From A yds to G yds",
141,"EC0081","EC0081","Toby (Baker Gulch)","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore:  From A yds to G yds",
142,"EC00220","EC0220","Sluicebox","1999-08-17 00:00:00","Added Production Data","Added Production Data  Periodprod: 1934, 1935, 1939   Ore: C yds   Commod:  Au: A oz; Ag: A oz",
143,"EC0556","EC0556","Upper Siegal Creek","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore:  From F yds to H yds",
144,"EC0058p","EC0058a","placer production","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore:  From G to H yds",
145,"EC0549","EC0549","Blue Moon Placer","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore: From G yds/A yds to K yds  Commod: From Au: A oz; Ag: A oz Al Ti Zr mon gar to Au: G oz; Ag: F oz Al Ti Zr mon gar",
146,"EC0085","EC0085","Mt. Vernon Dredge","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore:  From G yds to J yds",
148,"EC0507","EC0507","Lone Pine Mine","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore:  From A ton to G ton",
149,"EC0029","EC0029","Deadwood Creek Placer","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore:  From A yds to I yds",
151,"EC0039","EC0039","Mary K Mine (Black Pine)","1999-08-17 00:00:00","Updated Production Data","Changed Production Data  Ore:  From C ton/A ton  to  F ton/A ton   Commod:  From Au: C oz; Ag: B oz; Cu: C lbs Pb TO  Au: C oz; Ag: E oz; Cu: I lbs; Pb: C lbs",
152,"EC0356","EC0356","Gold King","1999-08-17 00:00:00","Added Production Data","Added Production Data  Periodprod:  1937- 42, 1946- 47  Ore:  C ton/A ton       Commod:       Au: C oz; Ag: C oz",
153,"EC0441","EC0441","Uncle Sam","1999-08-17 00:00:00","Added Production Data","Added Production Data  Periodprod:  1939- 41, 1948- 68  Ore:  K ton/E ton       Commod:  Au: G oz; Ag: H oz; Cu: U lbs; Pb: L lbs",
154,"EC0483","EC0483","Victory Group","1999-08-17 00:00:00","Added Production Data","Added Production Data  Periodprod:  1943       Ore:  A ton        Commod:  Ag: A oz; Cu: E lbs; Zn: C lbs",
155,"EC0533","EC0533","Baker Lode (Montgomery Claims)","1999-08-17 00:00:00","Added Production Data","Added Production Data  Periodprod:  1937- 1940  Ore:  B ton   Commod:  Au: A oz; Ag: A oz",
156,"EC0675","EC0675","Kimberly Mine","1999-08-17 00:00:00","Added Production Data","Added Production Data  Periodprod:  1901, 1902, 1960  Ore:  A ton  Commod:  Au: A oz; Ag: A oz",
157,"EC0677","EC0677","Hinkson-Bishop Mine","1999-08-17 00:00:00","Added Production Data","Added Production Data  Periodprod:  1926- 1942    Ore: C ton   Commod:  Au: C oz; Ag: C oz; Pb C lbs",
158,"EC1081","EC1081","Jewett #1","1999-08-17 00:00:00","Added Production Data","Added Production Data  Periodprod:  1966    Ore: A ton   Commod:  Au: A oz; Ag; A oz; Cu: D lbs; Zn: C lbs",
159,"EC1082","EC1082","Kittie Burton Mine","1999-08-17 00:00:00","Added Production Data","Added Production Data  Periodprod:  1941, 1942  Ore:  I ton/E ton   Commod:  Au: H oz; Ag: F oz; Cu: F lbs; Pb: F lbs",
160,"EC1108","EC1108","Snowdrift","1999-08-17 00:00:00","Added Production Data","Added Production Data  Periodprod:  1908      Ore: A ton    Commod: Au: A oz; Ag; A oz",
161,"EC1231","EC1231","Black Diamond","1999-08-17 00:00:00","Added Production Data","Added Production Data  Periodprod:  1914, 1939  Ore:  A ton   Commod:  Au:  A oz; Ag: A oz",
162,"GR0199","GR0199","Edna L (D-Square Ferry Placers)","1999-08-18 00:00:00","Added Production Data","Added Production Data  Periodprod:  1934       Ore:  yd unknown      Commod: Au: A oz",
163,"GR0214","GR0214","Black Hawk","1999-08-18 00:00:00","Added Production Data","Added Production Data  Periodprod:  1938       Ore:  D yds   Commod: Au: A oz; Ag: A oz",
164,"GR0333","GR0333","Black Creek Placer","1999-08-18 00:00:00","Changed Production Data","Changed Production Data  Ore: From A yds to G yds",
165,"GR0015","GR0015","Ozark","1999-08-18 00:00:00","Added Production Data","Added Production Data  Periodprod:  1982  Ore: B ton   Commod:  Au: A oz",
166,"GR0351","GR0143a","Rainbow End Mining Co.","1999-08-18 00:00:00","Added Production Data","Added Production Data  Periodprod:  1907  Ore: A ton   Commod:  Au: A oz; Ag: A oz, Cu: C lbs",
167,"GR0192","GR0192","Gold Bar","1999-08-18 00:00:00","Changed Production Data","Changed Production Data   Commod:  Au from C oz to zero production.",
168,"HA0118","HA0118","Feather River Placer","1999-08-31 00:00:00","Changed Production Data","Changed Production Data   Ore from A yds to G yds as per production data.",
169,"HA0403","HA0403","Poncia Placers","1999-08-31 00:00:00","Changed Production Data","Changed Production Data   Ore from G yds to I yds as per production data.",
170,"HA0490","HA0490","Fisher and Baumhoff Placers","1999-08-31 00:00:00","Changed Production Data","Changed Production Data   Ore from A yds to Q yds",
171,"HA0539","HA0539","Moores Creek Dredging","1999-08-31 00:00:00","Changed Production Data","Changed Production Data   Ore from A yds to P yds",
172,"HA0625","HA0625","Little Wonder","1999-08-31 00:00:00","Added Production Data","Added Production Data  Periodprod:  1940  Ore: yd unknown   Commod: Au: A oz",
173,"HA0712","HA0712","Boise-King","1999-08-31 00:00:00","Changed Production Data","Changed Production Data   Ore from A yds to K yds",
174,"HA0938","HA0938","Little Smoky Enterprises","1999-08-31 00:00:00","Changed Production Data","Changed Production Data   Ore from A yds to I yds",
175,"HA0069","HA0069","Monarch Mine","1999-08-31 00:00:00","Changed Production Data","Changed Production Data   Ore from A ton to H ton",
176,"HA0075","HA0075","Minerva Mine","1999-08-31 00:00:00","Changed Production Data","Changed Production Data   Ore from A ton/E ton to H ton/E ton",
178,"HA0231","HA0231","Santa Clara","1999-08-31 00:00:00","Added Production Data","Added Production Data   Periodprod: 1941    Ore:  A ton  Commod:  Ag: C oz; Pb: E lbs",
179,"HA0373","HA0373","Silver Star Queens Mine","1999-09-01 00:00:00","Changed Production Data","Changed Production Data   Ore from G ton/G ton to I ton/G ton",
180,"HA0448","HA0448","Gold Hill Mine","1999-09-01 00:00:00","Changed Production Data","Changed Production Data   Ore from A ton/C ton to I ton/C ton",
181,"HA0451","HA0451","Mayflower Mine","1999-09-01 00:00:00","Changed Production Data","Changed Production Data   Ore from A ton/B ton to G ton/B ton",
182,"HA0701","HA0701","B & A Road Claim","1999-09-01 00:00:00","Added Production Data","Added Production Data  Periodprod: 1935- 1942, 1947, 1949, 1955   Ore:  B ton   Commod:  Au: C oz; Ag: C oz",
184,"HA0964","HA0964","Silver Star Mine","1999-09-01 00:00:00","Changed Production Data","Changed Production Data   Ore from A ton to G ton",
185,"JV0063","JV0063","Amie No. 1 and 2","1999-09-01 00:00:00","Added Production Data","Added Production Data  Periodprod:  1932- 1942  Ore:  C ton/A ton  Commod:  Au: B oz; Ag: G oz; Pb: E lbs",
186,"JV0001","JV0001","Jordan Creek","1999-09-01 00:00:00","Changed Production Data","Changed Production Data   Ore: From A yds to J yds",
187,"PL0031","PL0031","Question Mark","1999-09-02 00:00:00","Added Production Data","Added Production Data  Periodprod:  1934, 1935  Ore:  E ton  Commod:  Au: A oz; Ag: A oz",
188,"SA0017","SA0017","Idaho Continental Mine","1999-09-02 00:00:00","Changed Production Data","Changed Production Data   Ore: From A ton/G ton to J ton/G ton",
189,"SA0218","SA0218","Hope Mine","1999-09-02 00:00:00","Changed Production Data","Changed Production Data   Ore: From A ton to I ton",
190,"SP0242","SP0242","Sunset Mine","1999-09-02 00:00:00","Changed Production Data","Changed Production Data   Ore: From A ton/A ton  to I ton/A ton",
191,"TF0076","TF0076","Paul (Enoch)","1999-09-02 00:00:00","Changed Production Value","Changed Production Value  Ore: From yd unknown to A yds",
192,"WL0059","WL0059","Hawkins","1999-09-02 00:00:00","Added Production Value","Added Production Value  PP:   1938     Ore: yd unknown  Commod:  Au: A oz",
193,"WL0109","WL0109","Accident Claim","1999-09-02 00:00:00","Changed Production Value","Changed Production Value  Ore:  From A yds to I yds",
194,"WL0116","WL0116","Potosi Placer","1999-09-02 00:00:00","Changed Production Value","Changed Production Value  Ore:  From A yds to I yds",
196,"SA0006","SA0006","Lucky Betsy Claims","1999-09-10 00:00:00","Changed Name","Changed the name from ""Unnamed Location"" to ""Lucky Betsy"" due to field study notes which found a claim notice",
197,"SA0006","SA0006","Lucky Betsy Claims","1999-09-10 00:00:00","Changed Reference","Changed the reference of the claim from ""USGS, Copeland 7.5-min. quad. topo. map."" to ""Bennett and others, 2000, USFS Bonners Ferry District AML Report""  (Region 1 AML studies)",
198,"WL0310","WL0310","Miller Mine","1999-10-28 00:00:00","Added Synonym","Synonym ""Kelly Creek Mining Company"" Added",
199,"EC0552","EC0552","Robinson - Cox Prospect","1999-11-02 00:00:00","Named Location","Added names to this unnamed location from locating it from files on Green Mountain 7.5 quad.  Named it ""Robinson - Cox Prospect"" and added synonyms ""Red Bird, Copper King, Blue Jay, Robinson-Cox,  Copper Ridge, White Bear, White Bird""",
