Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
HA 830	Scotia Group	43.8644	-114.9214	160130178	W013897	487
HA 831	Enfeldt	43.8619	-114.9253	160130351	N/A	491
HA 833	Ruby Mine (Ruby Silver)	43.8683	-114.8997	160130221	N/A	490
HA 836	Upper Salmon River Placer	43.8842	-114.8017	160130471	W013779	469
HA 837	Upper Salmon River Placer	43.8719	-114.7739	160130472	W013780	470
HA 838	Upper Salmon River Placer	43.8697	-114.7558	N/A	W013781	904
HA 839	P and D Prospect	43.8814	-114.8392	160130355	W013768	466
HA 840	Glory Group Prospect	43.875	-114.8425	160130470	W013831	467
HA 841	Ura Group Prospect (URA Group)	43.8658	-114.8336	160130002	W013635	468
HA 842	Lone Jack Group	43.8597	-114.8953	160130179	N/A	488
HA 843	Columbia Mine (Columbia, Myrtie, and Frankie Claims)	43.8614	-114.8786	160130174	W013887	489
HA 844	Beaver Mine	43.8575	-114.8814	160130175	N/A	492
HA 845	Bidwell-Beaver Mine (Beaver Extension and Bidwell)	43.8553	-114.8897	160130172	N/A	493
HA 846	Pilgrim Mine	43.8486	-114.89	160130151	W013603	495
HA 848	Sunbeam and Pride of the West	43.8522	-114.8831	160130173	W013604	496
HA 851	Silver King Mine	43.8528	-114.8764	160130168	W013867	499
HA 853	Old Grandad Mine (Bonnie Bell; Old Grandad No. 3)	43.8461	-114.8764	160130493	W013602	494
HA 858	Stibnite Prospect	43.8342	-114.8261	160130356	W013769	866
HA 860	Salmon River Prospect	43.8272	-114.7622	160130362	N/A	508
HA 862	Goodhope Prospect	43.8253	-114.7994	160130350	W013770	501
HA 863	Rabbit Foot Prospect	43.8225	-114.7875	160130360	W013771	502
HA 864	E & D Group (Ironside and Action; Carlin Claims)	43.815	-114.8019	160130193	W013772	503
HA 865	Frenchman Prospect (Frenchie Group)	43.8111	-114.7878	160130358	W013681	504
HA 866	Little Bear Prospect	43.8028	-114.7608	160250081	D006606	509
HA 867	Nellie Group	43.8111	-114.8403	160130171	N/A	900
HA 868	Vienna Mine	43.8019	-114.8483	160130150	N/A	507
HA 872	Webfoot Mine (Mountain King; Vienna Group)	43.8039	-114.8231	160130148	W013874	505
HA 873	Silver Empire	43.7989	-114.8358	160130442	N/A	856
HA 874	Emma	43.7947	-114.8319	160130170	N/A	899
HA 876	Solace Mine	43.7947	-114.8467	160130149	W013872	506
HA 953	Margaret Mine	43.6044	-114.6733	160130512	W013878	624
HA1017	Hurstie Prospect	43.8611	-114.4339	160130195	N/A	519
HA1019	Silver Lode	43.845	-114.4347	160130194	N/A	520
HA1021	Wood River Placer	43.8383	-114.4236	160130475	W013792	514
HA1022	Wonder Group	43.8383	-114.4106	N/A	N/A	433
HA1023	Boulder Mines (Golden Glow; Boulder Consolidated; Tip Top; Trapper)	43.8392	-114.5114	160130439	W013606	515
HA1024	Snug Prospect	43.8344	-114.5019	160130389	W013633	518
HA1026	Utah Group Mine	43.8286	-114.4981	160130393	W013761	517
HA1027	Sultan Prospect	43.8233	-114.4994	160130392	W013760	516
HA1029	Mineral Point Prospect (Murdock Creek Outcrop)	43.8233	-114.3944	160130428	N/A	553
HA1030	Wood River Placer	43.8061	-114.5778	160130461	W013789	144
HA1031	Starlight Group (Garfield Mining Group; Viking)	43.8022	-114.5769	160130003	N/A	634
HA1032	Wood River Placer	43.7933	-114.5678	160130463	W013790	145
HA1033	Wood River Placer	43.7853	-114.5125	160130473	N/A	512
HA1034	Wood River Placer	43.8044	-114.4192	160130474	W013791	513
HA1035a	Lone Pine (Anderson)	43.8	-114.4147	N/A	N/A	482
HA1036	Leroux Creek	43.7942	-114.4003	160130429	N/A	584
HA1037	Silver Mountain Nos. 1 and 2	43.8119	-114.3694	160130433	N/A	557
