Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
CH1125	Hidden Lake Prospect (Northern Altered Zone Prospect No. 1)	44.0106	-114.9967	160370704	W019341	961
CH1126	Manganese Deposit	44.005	-114.9967	160150153	W019343	963
CH1127	Hidden Lake Prospect (Southern Altered Zone Prospect No. 1)	44.005	-114.9878	160390655	W019339	964
CH1300	Can Pa Prospect	44.1742	-115.2414	N/A	N/A	N/A
CH1301	North Fork of Canyon Creek Placer (Lost Cabin Placer)	44.2606	-115.2011	N/A	N/A	N/A
CH1317	Payette Placer	44.1481	-115.1542	N/A	N/A	954
HA   1	Elkhorn Mine (Little Sammy)	43.9386	-115.7544	160150051	N/A	291
HA   4	Hope Claim	43.9317	-115.7647	160150088	N/A	290
HA   6	Rayme	43.9292	-115.7722	160150081	N/A	289
HA   9	Humdinger Group	43.9206	-115.7797	160150080	FS00131	293
HA  10	Revenue	43.9192	-115.7822	160150092	N/A	296
HA  12	Boulder Mine (Mollie McCarthy)	43.9153	-115.7878	160150046	W007619	298
HA  16	Forest King Prospect	43.9078	-115.7722	160150048	W007621	186
HA  18	MacCarthy (Mona MacCarthy)	43.9036	-115.7756	N/A	N/A	316
HA  20	Washington Mine (Monetary Metals Co.; George Washington)	43.9011	-115.7586	160150050	W007616	299
HA  21	Subrosa Mine (Confederate)	43.8986	-115.7617	160150049	W007602	303
HA  22	Gambrinus Mine (Gambrinus Surprise Mine; Surprise)	43.8942	-115.7681	160150045	W007597	301
HA  23	Gold Coin	43.8922	-115.755	160150070	N/A	319
HA  24	Accident Prospect	43.8903	-115.7753	160150044	W007572	315
HA  25	Cleveland Mine	43.8933	-115.7881	160150042	W007598	314
HA  26	Texida Mine	43.8914	-115.7814	160150041	W007596	321
HA  29	Gold Gravel	43.8942	-115.8092	160150095	N/A	311
HA  37	Cloverleaf Mine (MacCarthy)	43.8881	-115.7903	160150047	W007569	316
HA  38	Illinois Mine	43.885	-115.7825	160150037	W007591	317
HA  39	Daily Group (Democrat; Gentle Annie)	43.8831	-115.7792	160150087	N/A	322
HA  40	Lucky Boy	43.8822	-115.7689	160150038	N/A	318
HA  41	Orphan Prospect	43.8839	-115.7622	160150043	W007574	324
HA  42	Ophir	43.8789	-115.7753	160150089	N/A	323
HA  43	Mascot Mine	43.8789	-115.7611	160150039	W007567	325
HA  44	Eureka Mine	43.8781	-115.7517	160150040	N/A	320
HA  45	Blaine Mine (Gold Bond; Gold Dollar)	43.8758	-115.7803	160150036	W007573	327
HA  48	King Solomon Prospect	43.8622	-115.7753	N/A	W013800	326
